Test;Run;Clock Cycles 
1;1;101.00 
1;2;79.63 
1;3;107.25 
1;4;98.00 
1;5;104.13 
1;6;104.13 
1;7;113.25 
1;8;101.00 
1;9;101.13 
1;10;76.50 
1;11;101.00 
1;12;104.13 
1;13;94.88 
1;14;113.25 
1;15;76.50 
1;16;79.63 
1;17;101.13 
1;18;104.13 
1;19;79.63 
1;20;73.50 
1;21;79.63 
1;22;79.63 
1;23;76.50 
1;24;79.63 
1;25;76.63 
1;26;110.25 
1;27;79.63 
1;28;91.88 
1;29;79.63 
1;30;79.63 
1;31;171.50 
1;32;107.13 
1;33;79.63 
1;34;79.63 
1;35;113.25 
1;36;137.75 
1;37;73.50 
1;38;104.13 
1;39;79.63 
1;40;76.63 
1;41;79.63 
1;42;79.63 
1;43;101.00 
1;44;70.38 
1;45;101.13 
1;46;79.63 
1;47;79.63 
1;48;278.63 
1;49;101.00 
1;50;73.50 
1;51;140.88 
1;52;104.13 
1;53;79.63 
1;54;79.63 
1;55;79.63 
1;56;76.63 
1;57;101.00 
1;58;104.13 
1;59;82.63 
1;60;76.63 
1;61;199.00 
1;62;101.00 
1;63;104.13 
1;64;79.63 
1;65;79.63 
1;66;104.13 
1;67;177.63 
1;68;79.63 
1;69;101.13 
1;70;162.25 
1;71;76.50 
1;72;76.50 
1;73;104.13 
1;74;79.63 
1;75;82.75 
1;76;101.13 
1;77;88.75 
1;78;79.63 
1;79;79.63 
1;80;73.50 
1;81;79.63 
1;82;128.63 
1;83;122.50 
1;84;101.00 
1;85;98.00 
1;86;73.50 
1;87;131.75 
1;88;137.88 
1;89;79.63 
1;90;101.13 
1;91;104.13 
1;92;79.63 
1;93;76.50 
1;94;101.00 
1;95;113.25 
1;96;76.50 
1;97;104.13 
1;98;98.00 
1;99;104.13 
1;100;76.63 
2;1;9.19 
2;2;13.02 
2;3;9.56 
2;4;9.19 
2;5;13.41 
2;6;9.19 
2;7;13.41 
2;8;9.19 
2;9;13.02 
2;10;9.19 
2;11;17.22 
2;12;17.61 
2;13;9.58 
2;14;9.56 
2;15;9.56 
2;16;9.58 
2;17;14.17 
2;18;13.78 
2;19;11.88 
2;20;13.02 
2;21;13.02 
2;22;9.19 
2;23;16.84 
2;24;9.58 
2;25;9.56 
2;26;14.16 
2;27;9.19 
2;28;12.64 
2;29;13.78 
2;30;9.19 
2;31;14.16 
2;32;9.19 
2;33;9.56 
2;34;9.58 
2;35;13.02 
2;36;9.58 
2;37;9.19 
2;38;9.19 
2;39;9.56 
2;40;9.56 
2;41;13.39 
2;42;12.64 
2;43;30.63 
2;44;9.58 
2;45;9.95 
2;46;9.56 
2;47;9.95 
2;48;13.78 
2;49;13.02 
2;50;13.41 
2;51;9.19 
2;52;9.19 
2;53;14.17 
2;54;13.02 
2;55;9.19 
2;56;14.92 
2;57;13.39 
2;58;13.02 
2;59;10.72 
2;60;13.78 
2;61;13.78 
2;62;9.95 
2;63;9.58 
2;64;13.02 
2;65;13.78 
2;66;18.00 
2;67;9.95 
2;68;13.41 
2;69;13.78 
2;70;13.78 
2;71;14.16 
2;72;17.22 
2;73;11.11 
2;74;13.78 
2;75;9.58 
2;76;16.45 
2;77;12.64 
2;78;9.19 
2;79;9.19 
2;80;9.58 
2;81;13.78 
2;82;10.72 
2;83;9.95 
2;84;9.19 
2;85;9.19 
2;86;9.58 
2;87;21.06 
2;88;13.78 
2;89;11.11 
2;90;9.19 
2;91;9.19 
2;92;9.19 
2;93;9.58 
2;94;9.58 
2;95;9.56 
2;96;13.02 
2;97;13.39 
2;98;9.19 
2;99;9.58 
2;100;13.39 
3;1;7.53 
3;2;7.74 
3;3;7.36 
3;4;9.32 
3;5;7.27 
3;6;7.15 
3;7;7.27 
3;8;7.27 
3;9;7.32 
3;10;7.49 
3;11;7.27 
3;12;7.27 
3;13;7.36 
3;14;7.27 
3;15;7.40 
3;16;7.32 
3;17;7.32 
3;18;7.27 
3;19;7.23 
3;20;7.44 
3;21;7.23 
3;22;7.36 
3;23;7.27 
3;24;7.19 
3;25;7.27 
3;26;7.27 
3;27;7.02 
3;28;7.74 
3;29;7.23 
3;30;7.27 
3;31;7.27 
3;32;7.40 
3;33;7.66 
3;34;7.32 
3;35;7.27 
3;36;7.36 
3;37;7.32 
3;38;7.27 
3;39;7.19 
3;40;7.53 
3;41;7.15 
3;42;7.49 
3;43;7.32 
3;44;7.23 
3;45;7.23 
3;46;7.23 
3;47;7.32 
3;48;7.32 
3;49;7.32 
3;50;7.36 
3;51;7.27 
3;52;7.27 
3;53;7.95 
3;54;8.55 
3;55;7.32 
3;56;7.61 
3;57;7.27 
3;58;7.27 
3;59;7.36 
3;60;7.36 
3;61;7.32 
3;62;7.32 
3;63;7.83 
3;64;7.27 
3;65;7.32 
3;66;7.23 
3;67;7.15 
3;68;7.10 
3;69;7.32 
3;70;7.19 
3;71;7.23 
3;72;7.44 
3;73;7.36 
3;74;7.36 
3;75;7.32 
3;76;7.36 
3;77;7.57 
3;78;7.23 
3;79;7.61 
3;80;7.23 
3;81;7.40 
3;82;7.36 
3;83;7.27 
3;84;7.23 
3;85;7.32 
3;86;8.12 
3;87;7.32 
3;88;7.32 
3;89;7.10 
3;90;7.32 
3;91;7.23 
3;92;7.36 
3;93;7.40 
3;94;7.32 
3;95;7.27 
3;96;7.32 
3;97;7.27 
3;98;7.44 
3;99;7.40 
3;100;7.23 
4;1;7.19 
4;2;6.92 
4;3;7.50 
4;4;6.84 
4;5;6.83 
4;6;6.99 
4;7;7.16 
4;8;6.91 
4;9;6.95 
4;10;7.10 
4;11;7.03 
4;12;6.81 
4;13;6.84 
4;14;6.94 
4;15;6.91 
4;16;6.97 
4;17;6.86 
4;18;6.83 
4;19;7.02 
4;20;6.79 
4;21;6.92 
4;22;6.94 
4;23;6.81 
4;24;6.79 
4;25;6.87 
4;26;6.95 
4;27;6.99 
4;28;6.94 
4;29;7.03 
4;30;6.83 
4;31;6.81 
4;32;6.92 
4;33;6.95 
4;34;6.91 
4;35;6.83 
4;36;6.95 
4;37;8.25 
4;38;6.91 
4;39;6.92 
4;40;6.83 
4;41;6.89 
4;42;6.97 
4;43;6.94 
4;44;6.79 
4;45;6.84 
4;46;7.00 
4;47;6.92 
4;48;6.91 
4;49;6.89 
4;50;6.83 
4;51;6.94 
4;52;6.92 
4;53;6.99 
4;54;6.95 
4;55;6.86 
4;56;7.05 
4;57;6.91 
4;58;6.94 
4;59;6.94 
4;60;6.97 
4;61;6.95 
4;62;6.81 
4;63;6.92 
4;64;6.84 
4;65;6.79 
4;66;6.83 
4;67;6.94 
4;68;6.84 
4;69;6.87 
4;70;6.88 
4;71;6.99 
4;72;6.97 
4;73;6.97 
4;74;7.00 
4;75;6.99 
4;76;6.91 
4;77;7.07 
4;78;6.84 
4;79;6.83 
4;80;6.91 
4;81;8.04 
4;82;6.92 
4;83;6.97 
4;84;6.92 
4;85;6.83 
4;86;6.94 
4;87;6.89 
4;88;6.83 
4;89;6.97 
4;90;6.84 
4;91;7.02 
4;92;6.83 
4;93;6.94 
4;94;6.97 
4;95;6.81 
4;96;6.95 
4;97;6.99 
4;98;6.81 
4;99;6.95 
4;100;6.95 
5;1;6.70 
5;2;6.79 
5;3;6.76 
5;4;6.79 
5;5;6.76 
5;6;6.82 
5;7;6.80 
5;8;6.75 
5;9;6.73 
5;10;6.78 
5;11;6.76 
5;12;6.81 
5;13;6.78 
5;14;6.78 
5;15;6.75 
5;16;6.77 
5;17;6.84 
5;18;6.72 
5;19;6.72 
5;20;6.73 
5;21;6.72 
5;22;6.83 
5;23;6.77 
5;24;6.72 
5;25;6.71 
5;26;7.15 
5;27;6.71 
5;28;6.75 
5;29;6.72 
5;30;6.71 
5;31;6.74 
5;32;6.72 
5;33;6.70 
5;34;6.74 
5;35;6.78 
5;36;6.72 
5;37;6.75 
5;38;6.73 
5;39;6.72 
5;40;6.72 
5;41;6.79 
5;42;6.77 
5;43;6.72 
5;44;6.72 
5;45;6.74 
5;46;6.77 
5;47;6.72 
5;48;6.72 
5;49;6.75 
5;50;6.71 
5;51;6.74 
5;52;6.77 
5;53;6.78 
5;54;6.72 
5;55;6.77 
5;56;6.78 
5;57;6.75 
5;58;6.71 
5;59;6.72 
5;60;6.71 
5;61;6.75 
5;62;6.74 
5;63;6.74 
5;64;6.77 
5;65;6.73 
5;66;6.72 
5;67;6.71 
5;68;6.82 
5;69;6.76 
5;70;6.71 
5;71;6.84 
5;72;6.75 
5;73;6.78 
5;74;6.76 
5;75;6.91 
5;76;6.76 
5;77;6.71 
5;78;6.72 
5;79;6.75 
5;80;6.72 
5;81;6.74 
5;82;6.80 
5;83;6.79 
5;84;6.71 
5;85;6.74 
5;86;6.75 
5;87;6.72 
5;88;6.76 
5;89;6.79 
5;90;6.79 
5;91;6.72 
5;92;6.72 
5;93;6.72 
5;94;6.74 
5;95;6.71 
5;96;6.74 
5;97;6.72 
5;98;6.75 
5;99;6.79 
5;100;6.74 
